course_type,segment,session_min,lessons_per_session_60min,sessions_in_course,total_lessons_60min_in_course,course_usd,course_uah,price_per_session_usd,price_per_lesson_60min_usd,price_per_lesson_60min_uah,uah_rate_used,source
IT Starter,B2C,90,1.5,24,36.0,360.0,15084,15.0,10.0,419.0,44.2,solid.com.ua (verified)
IT Basic,B2C,90,1.5,30,45.0,678.0,28442,22.6,15.07,632.04,44.2,solid.com.ua (verified)
Business Starter,B2B,90,1.5,24,36.0,357.96,15822,14.91,9.94,439.5,44.2,solid.com.ua (verified)
Business C1,B2B,60,1.0,16,16.0,402.71,17800,25.17,25.17,1112.5,44.2,solid.com.ua (verified)
