course_type,segment,session_min,lessons_per_session_60min,sessions_in_course,total_lessons_60min_in_course,course_usd,course_uah,price_per_session_usd,price_per_lesson_60min_usd,price_per_lesson_60min_uah,uah_rate_used,source
IT Starter,B2C,90,1.5,24,36.0,360.0,14940,15.0,10.0,415.0,41.5,solid.com.ua (verified)
IT Basic,B2C,90,1.5,30,45.0,678.15,28143,22.605,15.07,625.4,41.5,solid.com.ua (verified)
Business Starter,B2B,90,1.5,26,39.0,387.66,16088,14.91,9.94,412.5,41.5,solid.com.ua (verified)
Business C1,B2B,60,1.0,32,32.0,805.44,33426,25.17,25.17,1044.6,41.5,solid.com.ua (verified)
