month,active_students,active_students_b2b,active_students_b2c,new_students_b2b,new_students_b2c,total_groups,b2b_groups,b2c_groups,b2b_revenue_usd,b2c_revenue_usd,total_revenue_usd,total_revenue_uah,total_profit_usd,avg_margin_pct,groups_green,groups_orange,groups_red,avg_teacher_utilization_pct,net_profit_v11_usd,net_margin_v11_pct,opex_fixed_usd,payment_gateway_usd
2025-04,499,427,72,0,0,53,45,8,101038.47,12183.84,113222.31,4698725.87,95127.55,84.02,19,34,0,70.81,71027.19,62.73,0,2038.0
2025-05,544,470,74,0,0,64,54,10,112174.14,12522.28,124696.42,5174901.43,102988.42,82.59,27,37,0,67.81,76344.36,61.22,0,2244.54
