month,active_students,new_students_b2b,new_students_b2c,total_groups,b2b_groups,b2c_groups,teachers_total,teachers_ft,teachers_pt,teachers_underperform,total_lessons_60min,b2b_revenue_usd,b2c_revenue_usd,total_revenue_usd,total_revenue_uah,total_cost_usd,total_profit_usd,avg_margin_pct,groups_green,groups_orange,groups_red,avg_teacher_utilization_pct,avg_rate_per_lesson_60min
2025-04,235,31,12,45,30,15,16,6,10,1,574.0,36036.84,14502.84,50539.68,2233853.86,16564.29,33975.39,62.0,43,1,1,86.4,10.3
2025-05,272,38,17,51,33,18,20,8,12,1,642.0,46167.72,13354.44,59522.16,2630879.48,20427.44,39094.72,57.5,50,0,1,84.6,10.27
